+------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------+------------------------------------------------------------------------------------------------+
| name                                                             | attached_policy_arns                                                                                                                                 | action                                       | principal                                                                                      |
+------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------+------------------------------------------------------------------------------------------------+
| AWSControlTowerCloudTrailRole                                    | ["arn:aws:iam::097423404838:policy/service-role/AWSControlTowerCloudTrailRolePolicy"]                                                                | sts:AssumeRole                               | {"Service": "cloudtrail.amazonaws.com"}                                                        |
| AWSControlTowerExecution                                         | ["arn:aws:iam::aws:policy/AdministratorAccess"]                                                                                                      | sts:AssumeRole                               | {"AWS": "arn:aws:iam::097423404838:root"}                                                      |
| AWSReservedSSO_AWSAdministratorAccess_d8c78b1cafab3abe           | ["arn:aws:iam::aws:policy/AdministratorAccess"]                                                                                                      | ["sts:AssumeRoleWithSAML", "sts:TagSession"] | {"Federated": "arn:aws:iam::097423404838:saml-provider/AWSSSO_b65fe12cfe58af8e_DO_NOT_DELETE"} |
| CloudTrailLake-us-east-1-copy_trail_ct01_to_ct01-data            | ["arn:aws:iam::097423404838:policy/service-role/LakeImport-d7ea3d36-c0b5-4504-9ce0-64c572282bb7"]                                                    | sts:AssumeRole                               | {"Service": "cloudtrail.amazonaws.com"}                                                        |
| aws-ec2-spot-fleet-tagging-role                                  | ["arn:aws:iam::aws:policy/service-role/AmazonEC2SpotFleetTaggingRole"]                                                                               | sts:AssumeRole                               | {"Service": "spotfleet.amazonaws.com"}                                                         |
| AWSControlTowerAdmin                                             | ["arn:aws:iam::097423404838:policy/service-role/AWSControlTowerAdminPolicy","arn:aws:iam::aws:policy/service-role/AWSControlTowerServiceRolePolicy"] | sts:AssumeRole                               | {"Service": "controltower.amazonaws.com"}                                                      |
| AWSReservedSSO_AWSPowerUserAccess_5502718691e458f7               | ["arn:aws:iam::aws:policy/PowerUserAccess"]                                                                                                          | ["sts:AssumeRoleWithSAML", "sts:TagSession"] | {"Federated": "arn:aws:iam::097423404838:saml-provider/AWSSSO_b65fe12cfe58af8e_DO_NOT_DELETE"} |
| AWSServiceRoleForSSO                                             | ["arn:aws:iam::aws:policy/aws-service-role/AWSSSOServiceRolePolicy"]                                                                                 | sts:AssumeRole                               | {"Service": "sso.amazonaws.com"}                                                               |
| AWSControlTowerStackSetRole                                      | ["arn:aws:iam::097423404838:policy/service-role/AWSControlTowerStackSetRolePolicy"]                                                                  | sts:AssumeRole                               | {"Service": "cloudformation.amazonaws.com"}                                                    |
